epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.394,0.91632,3.30161,1.33356,0.01057,0.86045,0.19011,0.12364,0.86282,3.72738,1.30188,0.0001111,0.0001111,0.0001111
2,176.829,1.01419,2.91087,1.41247,0.00664,0.935,0.27757,0.19026,0.90625,3.56112,1.30328,0.00022869,0.00022869,0.00022869
3,264.65,1.02149,2.43253,1.43277,0.4805,0.04112,0.28086,0.17231,0.9343,3.44005,1.35889,0.000341441,0.000341441,0.000341441
4,337.677,0.89323,2.12035,1.34139,0.5411,0.07479,0.26018,0.13736,1.11974,3.40924,1.50052,0.000449353,0.000449353,0.000449353
5,398.356,0.94469,1.98371,1.35409,0.28365,0.27809,0.23698,0.11717,1.22701,3.18711,1.63712,0.000552425,0.000552425,0.000552425
6,458.204,0.99665,1.88875,1.35549,0.24482,0.27179,0.27392,0.15596,1.13075,3.08844,1.55641,0.000650657,0.000650657,0.000650657
7,528.834,0.99952,1.80481,1.37677,0.29252,0.23498,0.21856,0.12521,1.28324,3.70761,1.84368,0.00074405,0.00074405,0.00074405
8,731.214,0.9551,1.70124,1.36477,0.14528,0.19103,0.1663,0.07989,1.32636,3.46074,1.87616,0.000832603,0.000832603,0.000832603
9,850.402,0.987,1.71818,1.35358,0.4258,0.21559,0.25131,0.1476,1.27471,3.81142,1.89061,0.000916317,0.000916317,0.000916317
10,917.826,0.95795,1.64555,1.32693,0.34734,0.2631,0.26276,0.14587,1.29843,3.32069,1.82573,0.00091302,0.00091302,0.00091302
11,987.051,0.9166,1.54096,1.32547,0.27728,0.4056,0.27853,0.14328,1.43114,3.50449,2.03479,0.000891022,0.000891022,0.000891022
12,1062.56,0.92212,1.59341,1.31062,0.32431,0.40706,0.33706,0.19555,1.43546,3.05384,1.91905,0.000869024,0.000869024,0.000869024
13,1130.84,0.91336,1.51369,1.28802,0.25937,0.43256,0.34314,0.20879,1.418,2.98635,1.93607,0.000847026,0.000847026,0.000847026
14,1202.04,0.9619,1.53717,1.32576,0.24376,0.41231,0.26905,0.13381,1.46267,3.03717,2.24153,0.000825029,0.000825029,0.000825029
15,1270.45,0.93743,1.53207,1.34437,0.28947,0.40322,0.31404,0.15896,1.38734,2.88136,2.00263,0.000803031,0.000803031,0.000803031
16,1340.25,0.94224,1.50054,1.34896,0.45581,0.31637,0.3465,0.17415,1.39365,3.05908,1.78333,0.000781033,0.000781033,0.000781033
17,1445.73,0.87872,1.39181,1.28018,0.34559,0.35795,0.3391,0.17316,1.3999,3.31849,1.78315,0.000759035,0.000759035,0.000759035
18,1585.84,0.85353,1.36901,1.28149,0.34125,0.35718,0.29326,0.17176,1.32757,3.14997,1.82945,0.000737037,0.000737037,0.000737037
19,1679.26,0.83126,1.32166,1.24594,0.44775,0.3166,0.38364,0.23076,1.32298,2.887,1.80183,0.00071504,0.00071504,0.00071504
20,1764,0.85332,1.31154,1.25342,0.34144,0.33718,0.33201,0.20949,1.25476,3.17359,1.7309,0.000693042,0.000693042,0.000693042
21,1885.39,0.7837,1.30698,1.25164,0.45745,0.30342,0.33367,0.18899,1.29234,3.41811,1.83086,0.000671044,0.000671044,0.000671044
22,1991.74,0.82923,1.22866,1.2447,0.4721,0.39462,0.42814,0.25136,1.33134,2.86415,1.8079,0.000649046,0.000649046,0.000649046
23,2119.25,0.79303,1.21958,1.216,0.44267,0.39154,0.41548,0.25477,1.32218,2.88458,1.8266,0.000627048,0.000627048,0.000627048
24,2221.83,0.80089,1.18897,1.20411,0.45783,0.36824,0.40097,0.23782,1.23271,2.94618,1.69532,0.000605051,0.000605051,0.000605051
25,2310.59,0.77742,1.11237,1.18892,0.5411,0.35716,0.43551,0.29018,1.13788,2.67206,1.57121,0.000583053,0.000583053,0.000583053
26,2468.82,0.7098,1.07066,1.15297,0.49469,0.42003,0.46937,0.30367,1.13415,2.53094,1.55875,0.000561055,0.000561055,0.000561055
27,2566.67,0.75705,1.04681,1.1581,0.50339,0.40643,0.48028,0.30341,1.1558,2.5384,1.56476,0.000539057,0.000539057,0.000539057
28,2684.65,0.73169,1.06838,1.16216,0.52582,0.41128,0.50622,0.31311,1.16024,2.41935,1.63702,0.000517059,0.000517059,0.000517059
29,2786.47,0.69217,1.05889,1.16443,0.69669,0.35718,0.43629,0.27376,1.22706,2.50408,1.74794,0.000495062,0.000495062,0.000495062
30,2879.8,0.71401,0.99226,1.15182,0.70336,0.32876,0.45211,0.29504,1.20433,2.53121,1.75392,0.000473064,0.000473064,0.000473064
31,2968.3,0.68852,0.98851,1.14681,0.73091,0.3724,0.48361,0.33106,1.14661,2.38713,1.62037,0.000451066,0.000451066,0.000451066
32,3041.37,0.70666,0.98168,1.1327,0.5739,0.3759,0.49082,0.33038,1.10514,2.36832,1.55344,0.000429068,0.000429068,0.000429068
33,3116.88,0.69673,0.96986,1.12897,0.50747,0.37308,0.45123,0.29211,1.13681,2.53069,1.61118,0.00040707,0.00040707,0.00040707
34,3187.4,0.66885,0.9146,1.12673,0.42794,0.35706,0.39506,0.24824,1.17114,2.80553,1.65027,0.000385073,0.000385073,0.000385073
35,3265.5,0.65507,0.91034,1.11176,0.45638,0.33862,0.35046,0.2461,1.2229,2.92672,1.71688,0.000363075,0.000363075,0.000363075
36,3340.84,0.67765,0.897,1.13779,0.41403,0.37141,0.36271,0.24006,1.22269,2.89004,1.69623,0.000341077,0.000341077,0.000341077
37,3431.76,0.67746,0.89049,1.10818,0.41053,0.33353,0.36598,0.24,1.18884,2.79047,1.63761,0.000319079,0.000319079,0.000319079
38,3510.29,0.61164,0.82065,1.07564,0.42515,0.43377,0.47419,0.30645,1.09279,2.48748,1.53819,0.000297081,0.000297081,0.000297081
