epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.103,0.91632,3.30161,1.33356,0.01057,0.86045,0.19011,0.12364,0.86282,3.72738,1.30188,0.0001111,0.0001111,0.0001111
2,191.816,1.01419,2.91087,1.41247,0.00664,0.935,0.27757,0.19026,0.90625,3.56112,1.30328,0.00022869,0.00022869,0.00022869
3,268.494,1.02149,2.43253,1.43277,0.4805,0.04112,0.28086,0.17231,0.9343,3.44005,1.35889,0.000341441,0.000341441,0.000341441
4,363.069,0.89323,2.12035,1.34139,0.5411,0.07479,0.26018,0.13736,1.11974,3.40924,1.50052,0.000449353,0.000449353,0.000449353
5,435.27,0.94469,1.98371,1.35409,0.28365,0.27809,0.23698,0.11717,1.22701,3.18711,1.63712,0.000552425,0.000552425,0.000552425
6,504.181,0.99665,1.88875,1.35549,0.24482,0.27179,0.27392,0.15596,1.13075,3.08844,1.55641,0.000650657,0.000650657,0.000650657
7,591.352,0.99952,1.80481,1.37677,0.29252,0.23498,0.21856,0.12521,1.28324,3.70761,1.84368,0.00074405,0.00074405,0.00074405
8,686.076,0.9551,1.70124,1.36477,0.14528,0.19103,0.1663,0.07989,1.32636,3.46074,1.87616,0.000832603,0.000832603,0.000832603
9,764.634,0.987,1.71818,1.35358,0.4258,0.21559,0.25131,0.1476,1.27471,3.81142,1.89061,0.000916317,0.000916317,0.000916317
10,837.867,0.95795,1.64555,1.32693,0.34734,0.2631,0.26276,0.14587,1.29843,3.32069,1.82573,0.00091302,0.00091302,0.00091302
11,914.057,0.9166,1.54096,1.32547,0.27728,0.4056,0.27853,0.14328,1.43114,3.50449,2.03479,0.000891022,0.000891022,0.000891022
12,991.907,0.92212,1.59341,1.31062,0.32431,0.40706,0.33706,0.19555,1.43546,3.05384,1.91905,0.000869024,0.000869024,0.000869024
13,1059.46,0.91336,1.51369,1.28802,0.25937,0.43256,0.34314,0.20879,1.418,2.98635,1.93607,0.000847026,0.000847026,0.000847026
14,1126.69,0.9619,1.53717,1.32576,0.24376,0.41231,0.26905,0.13381,1.46267,3.03717,2.24153,0.000825029,0.000825029,0.000825029
15,1203.26,0.93743,1.53207,1.34437,0.28947,0.40322,0.31404,0.15896,1.38734,2.88136,2.00263,0.000803031,0.000803031,0.000803031
16,1302.88,0.94224,1.50054,1.34896,0.45581,0.31637,0.3465,0.17415,1.39365,3.05908,1.78333,0.000781033,0.000781033,0.000781033
17,1390.68,0.87872,1.39181,1.28018,0.34559,0.35795,0.3391,0.17316,1.3999,3.31849,1.78315,0.000759035,0.000759035,0.000759035
